COURSE NUMBER,COURSE TITLE,MINIMUM CREDITS,MAXIMUM CREDITS,GRADING METHOD,GEN_EDS FULFILLED,SECTION ID,INSTRUCTOR,TOTAL SEATS,OPEN SEATS,WAITLIST COUNT,LECTURE TIME,2ND LISTED LECTURE TIME,3RD LISTED LECTURE TIME,DISCUSSION TIME,2ND LISTED DISCUSSION TIME,LAB TIME,2ND LISTED LAB TIME,LECTURE ROOM,2ND LISTED LECTURE ROOM,3RD LISTED LECTURE ROOM,DISCUSSION ROOM,2ND LISTED DISCUSSION ROOM,LAB ROOM,2ND LISTED LAB ROOM,UNSPECIFIED TIME MESSAGE,HAS LECTURE,HAS 2ND LISTED LECTURE,HAS 3RD LISTED LECTURE,HAS DISCUSSION,HAS 2ND LISTED DISCUSSION,HAS LAB,HAS 2ND LISTED LAB,IS NORMAL,IS BLENDED (NORMAL AND ONLINE),IS ONLINE,SPECIAL RESTRICTION,PREREQUISITE,COREQUISITE,RESTRICTION,CREDIT ONLY GRANTED FOR,FORMERLY,RECOMMENDED,CROSS-LISTED WITH,DESCRIPTION
"AASP310","African Slave Trade","3","3","Reg, P-F, Aud","","0101","George Kintiba","20","16","0","TuTh 9:30am-10:45am","","","","","","","WDS 1114","","","","","","","","1","0","0","0","0","0","0","1","0","0","","AASP202 or AASP100; or permission of BSOS-African American Studies department","","","","AASP311","","","The relationship of the slave trade of Africans to the development of British capitalism and its industrial revolution; and to the economic and social development of the Americas."
"AASP340","Black Existentialism","3","3","Reg, P-F, Aud","","0101","John Drabinski","25","0","6","TuTh 11:00am-12:15pm","","","","","","","TWS 1106","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","ENGL368O, AASP340, PHIL338E, or PHPE308C","","","ENGL368O, PHIL338E, and PHPE308C","Examines the critical transformation of European existentialist ideas through close readings of black existentialists Aime Cesaire, Frantz Fanon, George Lamming, and Wilson Harris, paired with key essays from Sartre, Camus, and Merleau-Ponty. As well, we will engage black existentialism not just as a series of claims, but also a method, which allows us to read works by African- American writers such as W.E.B. Du Bois, James Baldwin, and Ralph Ellison in an existentialist frame. Lastly, we will consider the matter of how and why existentialism continues to function so centrally in contemporary Africana philosophy."
"AASP361","Caribbean Women","3","3","Reg, P-F, Aud","","0101","Michelle Rowley","35","23","0","MW 10:00am-11:15am","","","","","","","SQH 1105","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","WGSS360, AASP361, or LACS348P","WMST360","","WGSS360 and LACS348P","An interdisciplinary analysis of the lives and experiences of women across the Caribbean region, through an examination of their roles in individual, national, social and cultural formations. Special emphasis on contemporary women's issues and organizations.Additionally for Fall 2024:"
"AASP386","Experiential Learning","3","6","Reg, P-F","","0101","Marshal Washington","10","10","0","F 2:00pm-4:30pm","","","","","","","TLF 1102","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","Permission of BSOS-African American Studies department; and junior standing or higher","","","","",""
"AASP398B","Selected Topics in the African Diaspora; Black Immigrants: Challenges and Impacts","3","3","Reg, P-F, Aud","","0101","Chinyere Osuji","25","5","0","MW 3:00pm-4:15pm","","","","","","","ONLINE","","","","","","","","1","0","0","0","0","0","0","0","0","1","","","","","AASP398B or IMMR319D","","","IMMR319D","How does immigration affect Black communities in the United States? How are foreign Black affected by living in the United States? Students will learn about: US history of immigration policy; pull and push factors driving Black migration; comparisons in socioeconomic outcomes between foreign and native Blacks; and differences between 1st and 2nd generation Black immigrants."
"AASP398J","Selected Topics in the African Diaspora; Black Women in Twentieth Century America","3","3","Reg, P-F, Aud","","0101","Instructor: TBA","27","16","0","TuTh 2:00pm-3:15pm","","","","","","","TYD 1118","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","HIST319X, WGSS379J, AMST498D, or AASP398J","","","HIST319X, WGSS379J, and AMST498D","Traces twentieth-century United States history from the perspective of Black women. We will center their diverse voices and experiences as we explore themes including family, work, activism, and cultural expression."
"AASP398K","Selected Topics in the African Diaspora; History of Black Education in America","3","3","Reg, P-F, Aud","","0101","Instructor: TBA","27","26","0","TuTh 9:30am-10:45am","","","","","","","KEY 0100","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","HIST339K, AASP398K, or AMST498F","","","HIST339K and AMST498F","Explores the development of formal education created by and for African Americans, from the antebellum era through the twenty-first century. Examine the historical roots of recent debates around race, justice, and equity in American schools."
"AASP398N","Selected Topics in the African Diaspora; Race, Health and Narrative","3","3","Reg, P-F, Aud","","0101","GerShun Avilez","25","16","0","TuTh 9:30am-10:45am","","","","","","","TWS 1105","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","","","","ENGL368N","Credit only granted with ENGL368N or AASP398N."
"AASP398Q","Selected Topics in the African Diaspora; Black Baltimore in the Post Racial U.S: African American Urban Culture in the Age of Obama","3","3","Reg, P-F, Aud","","0101","Robert Choflet","30","18","0","W 3:00pm-5:30pm","","","","","","","BPS 1232","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AASP398Q or AMST328M","","","AMST328M","Using the city of Baltimore as our case study and taking an interdisciplinary approach that draws from the scholarly fields of African American studies, sociology, geography, anthropology, history, and urban planning this course explores how both Blackness and anti-Blackness shape the city, its histories, its racial and cultural geography, its social movements, its political economy, and the competing visions for its future. This is an interactive course that will work to develop students capacity to understand and discuss major and minor moments in the history of Black Baltimore; understand and discuss the relationship between material conditions, racism, and urban policy; develop interdisciplinary frameworks through which to interpret and analyze the contemporary and historical conditions shaping the lived experiences of Black Baltimoreans; and analyze scholarship produced within the African American Studies tradition."
"AASP398U","Selected Topics in the African Diaspora; Angela Davis","3","3","Reg, P-F, Aud","","0101","John Drabinski","25","22","0","TuTh 9:30am-10:45am","","","","","","","TLF 0110","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AASP398U, AMST328B, ENGL368F, and WGSS379U","","","AMST328B, ENGL368F, and WGSS379U","This course explores the meaning and significance of Angela Davis work for thinking through issues of race, nation, class, gender, carceral culture, and transnational solidarity. Her life and work is set between theorizing histories of race, racism, class, and gender and political organizing and public intellectual work. We will examine all of these aspects by reading her work from its beginning and up through contemporary commentary on incarceration, Palestine, and related issues. The centerpiece of this course will be her study of African-American music in its Black feminist iteration, Blues Legacies and Black Feminism."
"AASP478E","Humanities Topics in African American Studies; Black Digitalities","3","3","Reg, P-F, Aud","","0101","Marisa Parham","20","10","0","M 3:30pm-6:00pm","","","","","","","TWS 1320","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","ENGL438B or AASP478E","","","ENGL438B","In investigating a broad range of materials: essays, literature, film, VR, and video games, this class in digital study and practice explores the long history of Black Atlantic engagement with digital techniques and modalities. Over the course of the semester students will engage a variety of hands on experiences, creating or conceptualizing digital objects as entry points into learning how to read digital experiences from both cultural and computational perspectives. Writing assignments will especially focus on how play and interactivity impact narrative and representation. By combining close reading practice with digital treatments of canonical African American texts, this class will help students historicize important cross-fertilizations between Black expressive traditions and a range of contemporary media."
"AASP478G","Humanities Topics in African American Studies; Plants & Diaspora: Black and Indigenous Environmental History","3","3","Reg, P-F, Aud","","0101","Jayson Porter","13","9","0","M 2:00pm-4:30pm","","","","","","","TLF 2100","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","HIST419O or AASP478G","","","HIST419O","Reading seminar investigating the African Diaspora in the Americas through several plants, such as mangroves, sesame, rice, oil palm, coconut palm, cassava, and peanuts. Students analyze environmental histories of slavery, colonialism, and rebellion and explore how Black and Indigenous experiences shaped landscapes of extraction, freedom, and justice."
"AASP479","Special Research in African-American Studies","1","9","Reg, P-F, Aud","","0101","Oscar Barbarin","5","5","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AASP479","Special Research in African-American Studies","1","9","Reg, P-F, Aud","","0201","Robert Choflet","5","4","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AASP479","Special Research in African-American Studies","1","9","Reg, P-F, Aud","","0301","John Drabinski","5","5","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AASP479","Special Research in African-American Studies","1","9","Reg, P-F, Aud","","0401","Angelica Dunbar","5","5","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AASP479","Special Research in African-American Studies","1","9","Reg, P-F, Aud","","0501","Cecily Jackson","5","5","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AASP479","Special Research in African-American Studies","1","9","Reg, P-F, Aud","","0601","Sharon Harley","5","5","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AASP479","Special Research in African-American Studies","1","9","Reg, P-F, Aud","","0701","George Kintiba","5","5","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AASP479","Special Research in African-American Studies","1","9","Reg, P-F, Aud","","0801","Sangeetha Madhavan","5","5","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AASP479","Special Research in African-American Studies","1","9","Reg, P-F, Aud","","0901","Ashley Newby","5","5","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AASP479","Special Research in African-American Studies","1","9","Reg, P-F, Aud","","1001","Jason Nichols","5","5","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AASP479","Special Research in African-American Studies","1","9","Reg, P-F, Aud","","1101","Chinyere Osuji","5","5","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AASP479","Special Research in African-American Studies","1","9","Reg, P-F, Aud","","1201","Periloux Peay","5","5","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AASP479","Special Research in African-American Studies","1","9","Reg, P-F, Aud","","1301","Joseph Richardson","5","5","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AASP479","Special Research in African-American Studies","1","9","Reg, P-F, Aud","","1401","Shane Walsh","5","5","0","Contact department or instructor for details.","","","","","","","","","","","","","","Contact department or instructor for details.","1","0","0","0","0","0","0","1","0","0","","","","","","","","",""
"AASP479A","Special Research in African-American Studies; Advanced Field Research in African American Politics","1","9","Reg, P-F, Aud","","0101","Periloux Peay","20","19","0","M 3:00pm-5:30pm","","","","","","","TLF 0101","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","","","","","This course is designed to guide students through the process of conducting advanced research on political and societal phenomena that impact the Black community. Students will receive hands-on experience conducting field experiments, deploying in-person and virtual surveys, conducting interviews and focus groups, and analyzing data."
"AASP498O","Special Topics in Black Culture; African American and Latino Social, Cultural and Political Relations: 1940 to Present","3","3","Reg","","0101","Jason Nichols","30","29","0","W 4:00pm-6:30pm","","","","","","","BPS 1236","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","","","","USLT498E","Credit granted for AASP498O or USLT498E. An examination of the social, cultural, and political relationships between African American and Latino/a/x communities. In doing so, we will explore identity conundrums such as what constitutes a Latino/a/x. Who is African American? This nation has rarely seen two groups often lumped together spatially and socially with a rich history of working together towards progress, so divided and contentious. We will also through the analysis of trends look to find points of mutual concern and possible convergence and political coalition. In this course, it will be necessary to examine residential patterns and segregation, as well as learn about Latin American political and racial formation. We also will examine Afro-latinidad, which complicates the sociopolitical landscape and relationship between African American and Latinx communities."
"AASP499L","Advanced Topics in Public Policy and the Black Community; Covering Social Justice","3","3","Reg, P-F, Aud","","0101","DeNeen Brown","18","2","0","M 3:00pm-5:45pm","","","","","","","KNI 3202","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","",": JOUR458J or AASP499L","","","JOUR458J","The objective of this class is to expose students to the best journalistic practices in covering race and social justice issues. Students will explore how social justice is covered in the media through readings, discussions, guest lectures and research assignments to help students understand the history and background of social justice and how reporters cover these issues. Students will develop critical analytical skills through their research and will write a reported essay about a national or international social justice issue impacting society."
"AASP499N","Advanced Topics in Public Policy and the Black Community; News Coverage of Racial Issues","3","3","Reg, P-F, Aud","","0101","Anne Rosen","25","11","0","TuTh 9:30am-10:45am","","","","","","","KNI 3202","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","Junior standing or higher","","","","",""
"AASP499U","Advanced Topics in Public Policy and the Black Community; End Gun Violence: An Analysis of Structural Violence, Interpersonal Violence and Trauma in African-American Communities","3","3","Reg, P-F, Aud","","0101","Joseph Richardson","25","24","0","W 3:00pm-5:30pm","","","","","","","SQH 1111","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","","","","","Gun violence is the leading cause of death and disability among African-American children and adult men between the ages of 15-44. Structural violence conceptualizes the ways social structures, institutions and systems are complicit in the harm of specific populations (e.g., shortened life expectancy among African Americans). These harms are often preventable. Structural and interpersonal violence, specifically community firearm violence, impacts the physical, psychological, social and emotional well-being, and quality of life of African-Americans, a demographic disproportionately impacted by the harms caused by structural and interpersonal violence. Using an interdisciplinary, structural justice and anti-racist approach this course examines the intersection of structuralviolence, interpersonal violence and trauma in African-American communities impacted by gun violence."
"AAST200","Introduction to Asian American Studies","3","3","Reg, P-F","DSHS,DVUP","0101","Julie Park","40","0","1","TuTh 2:00pm-3:15pm","","","","","","","SQH 1105","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AAST200 or AMST298C","","","AMST298C","The aggregate experience of Asian Pacific Americans, from developments in the countries of origin to their contemporary issues. The histories of Asian Pacific American groups as well as culture, politics, the media, and stereotypes, viewed from an interdisciplinary perspective."
"AAST200","Introduction to Asian American Studies","3","3","Reg, P-F","DSHS,DVUP","0201","Jennifer Cho","40","0","15","TuTh 9:30am-10:45am","","","","","","","TWS 0223","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AAST200 or AMST298C","","","AMST298C","The aggregate experience of Asian Pacific Americans, from developments in the countries of origin to their contemporary issues. The histories of Asian Pacific American groups as well as culture, politics, the media, and stereotypes, viewed from an interdisciplinary perspective."
"AAST201","Asian American History","3","3","Reg, P-F, Aud","DSHS,DVUP","0101","Madeline Hsu","40","18","0","TuTh 9:30am-10:45am","","","","","","","KEY 0126","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AAST201 or HIST221","","","HIST221","Introduction to the history of Asian Americans and Asians in the United States and the Americas and to the field of Asian American Studies, from an interdisciplinary perspective. Topics include theories of race and ethnicity; Asian migration and diaspora to the Americas; Asian American work and labor issues; gender, family, and communities; nationalism and nativism, and anti-Asian movements; Asian Americans in World War II, the Cold War, and the issues in the civil rights & post-civil rights era."
"AAST262","Asian American Psychology","3","3","Reg, P-F, Aud","","0101","Derek Iwamoto","54","32","0","TuTh 12:30pm-1:45pm","","","","","","","CHE 2108","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","PSYC262, AAST262 or PSYC489Z","PSYC489Z","","PSYC262","An overview of how socio-cultural influences impact the development and psychological health of Asian Americans. Other topics include how minority group status, adaptation and identity development influence various aspects of psychological functioning; the role of historic systematic racism; and, how the COVID-19 pandemic has negatively impacted Asian Americans. Students develop a deeper understanding of the role of stereotypes and racism, acculturation, racial identity development, cultural values, gender socialization, behavioral norms, family roles, stressors and social support systems on the mental health, well-being and health of Asian Americans."
"AAST351","Asian Americans and Media","3","3","Reg, P-F","DSSP,DVUP","0101","Binod Paudyal","25","0","31","TuTh 11:00am-12:15pm","","","","","","","JMZ 0125","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AAST351, AAST398M or AAST398N","AAST398M, AAST398N","","","From yellow peril invaders to model minority allies, Asian Americans have crafted their own dynamic cultural expressions in a number of media from film, television, and music to fashion, sports, and food that reveal and contest the contradictions of the U.S. nation-state. Asian American culture also uniquely sits at the nexus of immigration flows and digital technologies, providing a transnational lens to view the US place in the world. This advanced course, then, will introduce students to the study and practice of Asian American cyktyre as multiple , hybrid, and heterogeneous. It will do so through three sections: section one will introduce students to classical, cultural, and media concepts as well as relevant keywords outlined by Asian American Studies scholars; section two will review the work of Asian American cultural theorists; section three will focus on analyses of particular Asian American cultural productions. In doing so, students will gain an understanding of the shifting and interlocking tensions among the local, the national, and the global that form the cultural geographies of Asian America."
"AAST355","Asian Americans in Film","3","3","Reg, P-F, Aud","DSHU,DVUP","0101","Jennifer Cho","25","0","37","TuTh 2:00pm-3:15pm","","","","","","","TWS 1107","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AAST355, AAST398L or AMST328W","398L","","AMST328W","Explores how Asian Americans have historically been represented in the U.S. by Hollywood, and in turn, how independent and Hollywood Asian American filmmakers have represented themselves. It covers the history of racial, gendered, and sexualized representations of Asian Americans in Hollywood, as well as Asian American filmic responses within and outside Hollywood. It also introduces how four basic tools of film analysis mise-en-scene, cinematography, editing and sound work together to create meaning in moving images. It examines how these elements are put together in three different types of films by Asian American filmmakers: narrative, documentary, and experimental. How films function in society to circulate ideas that reproduce and challenge stereotypes about Asian Americans."
